Round,Global Loss,Global Accuracy,1A_Loss,1A_Accuracy,1C_Loss,1C_Accuracy,1D_Loss,1D_Accuracy,1E_Loss,1E_Accuracy,1F_Loss,1F_Accuracy,2A_Loss,2A_Accuracy,2C_Loss,2C_Accuracy,2D_Loss,2D_Accuracy,2E_Loss,2E_Accuracy,2F_Loss,2F_Accuracy,3A_Loss,3A_Accuracy,3C_Loss,3C_Accuracy,3D_Loss,3D_Accuracy,3E_Loss,3E_Accuracy,3F_Loss,3F_Accuracy,4A_Loss,4A_Accuracy,4C_Loss,4C_Accuracy,4D_Loss,4D_Accuracy,4E_Loss,4E_Accuracy,4F_Loss,4F_Accuracy,5A_Loss,5A_Accuracy,5C_Loss,5C_Accuracy,5D_Loss,5D_Accuracy,5E_Loss,5E_Accuracy,5F_Loss,5F_Accuracy
16,1.2592568397521973,0.8974359035491943,1.3282853364944458,0.8809523582458496,1.1412596702575684,0.9523809552192688,1.178609848022461,0.9047619104385376,1.0736753940582275,0.976190447807312,1.1624131202697754,0.9285714030265808,1.4483346939086914,0.8181818127632141,1.27092707157135,0.9090909361839294,1.17292058467865,0.9090909361839294,1.1564065217971802,0.9318181872367859,1.241142749786377,0.9090909361839294,1.2639591693878174,0.8999999761581421,1.134487509727478,0.9399999976158142,1.058716893196106,0.9800000190734863,1.0874096155166626,0.9599999785423279,1.0902714729309082,0.9599999785423279,1.27792489528656,0.8679245114326477,1.7549432516098022,0.7358490824699402,1.634684681892395,0.7735849022865295,1.4125699996948242,0.8301886916160583,1.6061985492706299,0.7924528121948242,1.217427134513855,0.8974359035491943,1.3070207834243774,0.8717948794364929,1.2572154998779297,0.8974359035491943,1.2887599468231201,0.8974359035491943,1.2592568397521973,0.8974359035491943
17,1.2483184337615967,0.8974359035491943,1.3159536123275757,0.8809523582458496,1.1403135061264038,0.9523809552192688,1.1734052896499634,0.9047619104385376,1.072454810142517,0.976190447807312,1.1587551832199097,0.9285714030265808,1.4395610094070435,0.8181818127632141,1.2724289894104004,0.9090909361839294,1.1652894020080566,0.9090909361839294,1.1522104740142822,0.9318181872367859,1.2326809167861938,0.9090909361839294,1.2573504447937012,0.8999999761581421,1.13132905960083,0.9399999976158142,1.0564931631088257,0.9800000190734863,1.0851733684539795,0.9599999785423279,1.0849604606628418,0.9599999785423279,1.2760292291641235,0.8679245114326477,1.7459793090820312,0.7358490824699402,1.6314280033111572,0.7735849022865295,1.4108166694641113,0.8301886916160583,1.6013591289520264,0.7924528121948242,1.214439034461975,0.8974359035491943,1.2939788103103638,0.8717948794364929,1.2492607831954956,0.8974359035491943,1.2796061038970947,0.8974359035491943,1.2483184337615967,0.8974359035491943
18,1.2399665117263794,0.8974359035491943,1.3037657737731934,0.8809523582458496,1.1389522552490234,0.9523809552192688,1.1695528030395508,0.9047619104385376,1.0704501867294312,0.976190447807312,1.154813528060913,0.9285714030265808,1.432267427444458,0.8181818127632141,1.2717448472976685,0.9090909361839294,1.1588495969772339,0.9090909361839294,1.1472363471984863,0.9318181872367859,1.2264426946640015,0.9090909361839294,1.250704288482666,0.8999999761581421,1.127581238746643,0.9399999976158142,1.0533686876296997,0.9800000190734863,1.0818978548049927,0.9599999785423279,1.080239176750183,0.9599999785423279,1.2727760076522827,0.8679245114326477,1.7382564544677734,0.7358490824699402,1.6280450820922852,0.7735849022865295,1.4075051546096802,0.8301886916160583,1.5969053506851196,0.7924528121948242,1.2119433879852295,0.8974359035491943,1.2842038869857788,0.8717948794364929,1.2433254718780518,0.8974359035491943,1.2724099159240723,0.8974359035491943,1.2399665117263794,0.8974359035491943
19,1.2305550575256348,0.8974359035491943,1.2920445203781128,0.8809523582458496,1.1385241746902466,0.9523809552192688,1.1657001972198486,0.9047619104385376,1.0690354108810425,0.976190447807312,1.1514990329742432,0.9285714030265808,1.4251322746276855,0.8181818127632141,1.272294521331787,0.9090909361839294,1.151877999305725,0.9090909361839294,1.1438896656036377,0.9318181872367859,1.219650387763977,0.9090909361839294,1.245008945465088,0.8999999761581421,1.1244893074035645,0.9399999976158142,1.0508227348327637,0.9800000190734863,1.0790526866912842,0.9599999785423279,1.0756393671035767,0.9599999785423279,1.2692434787750244,0.8679245114326477,1.7269740104675293,0.7358490824699402,1.6211838722229004,0.7735849022865295,1.4018323421478271,0.8301886916160583,1.5893867015838623,0.7924528121948242,1.209849238395691,0.8974359035491943,1.2734766006469727,0.8717948794364929,1.2364001274108887,0.8974359035491943,1.2637131214141846,0.8974359035491943,1.2305550575256348,0.8974359035491943
20,1.221848726272583,0.8974359035491943,1.2794420719146729,0.8809523582458496,1.1373587846755981,0.9523809552192688,1.162182092666626,0.9047619104385376,1.0679899454116821,0.976190447807312,1.1475118398666382,0.9285714030265808,1.4150707721710205,0.8181818127632141,1.2701109647750854,0.9090909361839294,1.1448988914489746,0.9090909361839294,1.138682246208191,0.9318181872367859,1.2122482061386108,0.9090909361839294,1.239009976387024,0.8999999761581421,1.12155282497406,0.9399999976158142,1.048291802406311,0.9800000190734863,1.0765937566757202,0.9599999785423279,1.070915699005127,0.9599999785423279,1.2676481008529663,0.8679245114326477,1.717857837677002,0.7358490824699402,1.6180802583694458,0.7735849022865295,1.3991479873657227,0.8301886916160583,1.58446204662323,0.7924528121948242,1.2065033912658691,0.8974359035491943,1.2616792917251587,0.8717948794364929,1.2300074100494385,0.8974359035491943,1.2557082176208496,0.8974359035491943,1.221848726272583,0.8974359035491943
21,1.2134747505187988,0.8974359035491943,1.2648528814315796,0.8809523582458496,1.134636640548706,0.9523809552192688,1.1580556631088257,0.9047619104385376,1.0665653944015503,0.976190447807312,1.1431108713150024,0.9523809552192688,1.4002827405929565,0.8181818127632141,1.2642618417739868,0.9090909361839294,1.138245701789856,0.9090909361839294,1.1323928833007812,0.9318181872367859,1.203924298286438,0.9090909361839294,1.2306761741638184,0.8999999761581421,1.1180342435836792,0.9399999976158142,1.0464353561401367,0.9800000190734863,1.0742846727371216,0.9599999785423279,1.0657665729522705,0.9599999785423279,1.2708786725997925,0.8679245114326477,1.7147334814071655,0.7358490824699402,1.6198524236679077,0.7735849022865295,1.4008756875991821,0.8301886916160583,1.5838521718978882,0.7924528121948242,1.2017701864242554,0.8974359035491943,1.251225233078003,0.8717948794364929,1.224475622177124,0.8974359035491943,1.248697280883789,0.8974359035491943,1.2134747505187988,0.8974359035491943
22,1.2058130502700806,0.8974359035491943,1.2528812885284424,0.8809523582458496,1.132920265197754,0.9523809552192688,1.154900312423706,0.9047619104385376,1.0651441812515259,0.976190447807312,1.1394190788269043,0.9523809552192688,1.3905173540115356,0.8181818127632141,1.2610499858856201,0.9090909361839294,1.1322041749954224,0.9090909361839294,1.1281867027282715,0.9318181872367859,1.1966638565063477,0.9090909361839294,1.225157380104065,0.8999999761581421,1.1145209074020386,0.9399999976158142,1.044003963470459,0.9800000190734863,1.0716274976730347,0.9599999785423279,1.061259150505066,0.9599999785423279,1.268825650215149,0.8679245114326477,1.705947995185852,0.7358490824699402,1.6169657707214355,0.7735849022865295,1.3971978425979614,0.8301886916160583,1.5792640447616577,0.7924528121948242,1.1987375020980835,0.8974359035491943,1.2406166791915894,0.8717948794364929,1.2192682027816772,0.8974359035491943,1.2412548065185547,0.8974359035491943,1.2058130502700806,0.8974359035491943
23,1.1987226009368896,0.8974359035491943,1.2409387826919556,0.8809523582458496,1.1306114196777344,0.9523809552192688,1.151885747909546,0.9047619104385376,1.0640417337417603,0.976190447807312,1.134865403175354,0.9523809552192688,1.3795380592346191,0.8181818127632141,1.2560871839523315,0.9090909361839294,1.1264090538024902,0.9090909361839294,1.1232709884643555,0.9318181872367859,1.1893584728240967,0.9090909361839294,1.2187293767929077,0.8999999761581421,1.111035943031311,0.9399999976158142,1.041946291923523,0.9800000190734863,1.0690109729766846,0.9599999785423279,1.056645154953003,0.9599999785423279,1.269703984260559,0.8679245114326477,1.6998357772827148,0.7358490824699402,1.6157703399658203,0.7735849022865295,1.3967127799987793,0.8301886916160583,1.5760935544967651,0.7924528121948242,1.1951934099197388,0.8974359035491943,1.2295207977294922,0.8717948794364929,1.2138968706130981,0.8974359035491943,1.2343343496322632,0.8974359035491943,1.1987226009368896,0.8974359035491943
24,1.191186785697937,0.8974359035491943,1.2283369302749634,0.8809523582458496,1.1274125576019287,0.9523809552192688,1.148672103881836,0.9047619104385376,1.062793254852295,0.976190447807312,1.1302576065063477,0.9523809552192688,1.3664307594299316,0.8181818127632141,1.2491966485977173,0.9090909361839294,1.1207021474838257,0.9090909361839294,1.1184312105178833,0.9318181872367859,1.180648922920227,0.9090909361839294,1.212079644203186,0.8999999761581421,1.1069250106811523,0.9399999976158142,1.040367841720581,0.9800000190734863,1.0672825574874878,0.9599999785423279,1.0521972179412842,0.9599999785423279,1.271862506866455,0.8679245114326477,1.6917822360992432,0.7358490824699402,1.6153770685195923,0.7735849022865295,1.3963282108306885,0.8301886916160583,1.5715718269348145,0.7924528121948242,1.1906018257141113,0.8974359035491943,1.2186737060546875,0.8717948794364929,1.2092071771621704,0.8974359035491943,1.2269539833068848,0.8974359035491943,1.191186785697937,0.8974359035491943
25,1.1826608180999756,0.8974359035491943,1.218326210975647,0.9047619104385376,1.126462697982788,0.9523809552192688,1.1456047296524048,0.9047619104385376,1.0626332759857178,0.976190447807312,1.126695990562439,0.9523809552192688,1.360498309135437,0.8181818127632141,1.2469167709350586,0.9090909361839294,1.1148604154586792,0.9090909361839294,1.1155694723129272,0.9318181872367859,1.1719207763671875,0.9090909361839294,1.2082303762435913,0.9200000166893005,1.1050184965133667,0.9399999976158142,1.0386664867401123,0.9800000190734863,1.065964937210083,0.9599999785423279,1.0476819276809692,0.9599999785423279,1.2707008123397827,0.8679245114326477,1.679679274559021,0.7358490824699402,1.6097025871276855,0.7735849022865295,1.3930000066757202,0.8301886916160583,1.5637972354888916,0.7924528121948242,1.1893503665924072,0.8974359035491943,1.2059926986694336,0.8717948794364929,1.2024059295654297,0.8974359035491943,1.2188338041305542,0.8974359035491943,1.1826608180999756,0.8974359035491943
